Air Pollution - Particulate Matter by State
"All Races (includes Hispanic/Latino), Both Sexes, All Ages, 2020"

Sorted by Percent

State,FIPS,Micrograms per cubic meter (PM2.5)(1)
"United States",00000,7.3
"California",06000,12.6
"Oregon",41000,12.1
"Washington",53000,10.3
"Oklahoma",40000,8.9
"Georgia",13000,8.8
"Illinois",17000,8.7
"Mississippi",28000,8.7
"Alabama",01000,8.6
"Indiana",18000,8.6
"Arkansas",05000,8.3
"Louisiana",22000,8.3
"Nevada",32000,8.2
"New Jersey",34000,8.1
"Texas",48000,8.1
"Kentucky",21000,8.0
"Florida",12000,7.9
"Ohio",39000,7.9
"Connecticut",09000,7.8
"District of Columbia",11001,7.8
"Pennsylvania",42000,7.8
"South Carolina",45000,7.8
"Wisconsin",55000,7.7
"Missouri",29000,7.5
"Iowa",19000,7.4
"Delaware",10000,7.3
"Kansas",20000,7.3
"Idaho",16000,7.2
"Tennessee",47000,7.0
"New York",36000,6.9
"Massachusetts",25000,6.8
"Michigan",26000,6.7
"North Carolina",37000,6.7
"Virginia",51000,6.7
"West Virginia",54000,6.7
"Maryland",24000,6.3
"Arizona",04000,6.0
"Minnesota",27000,6.0
"Nebraska",31000,6.0
"Rhode Island",44000,6.0
"Utah",49000,5.9
"Vermont",50000,5.8
"Colorado",08000,5.7
"Montana",30000,5.6
"New Hampshire",33000,5.5
"North Dakota",38000,5.5
"New Mexico",35000,5.4
"South Dakota",46000,5.4
"Alaska",02900,5.3
"Maine",23000,5.3
"Wyoming",56000,4.8
"Hawaii",15000,3.7
"Puerto Rico",72001,NA

Suggested Citation:
HDPulse: An Ecosystem of Minority Health and Health Disparities Resources. National Institute on Minority Health and Health Disparities. Created 4/28/2026. Available from https://hdpulse.nimhd.nih.gov

Notes:
Source: National Environmental Public Health Tracking Network [ https://ephtracking.cdc.gov/DataExplorer/ ] from the CDC.
Average daily density of fine particulate matter in micrograms per cubic meter (PM2.5).

NA: Some data are not available or suppressed due to insufficient counts.
